slug,title,description,difficulty,categories,companyTags,externalPlatformUrl
minimum-platforms,Minimum Number of Platforms Required,Find minimum platforms needed at railway station,Medium,"Greedy,Array,Sorting","Amazon,Flipkart,Microsoft,Paytm",https://www.geeksforgeeks.org/minimum-number-platforms-required-railwaybus-station/
job-sequencing-problem,Job Sequencing Problem,Schedule jobs to maximize profit,Medium,"Greedy,Array,Sorting","Amazon,Microsoft,Flipkart",https://www.geeksforgeeks.org/job-sequencing-problem/
fractional-knapsack,Fractional Knapsack Problem,Maximize value in knapsack with fractional items,Medium,"Greedy,Array,Sorting","Amazon,Microsoft",https://www.geeksforgeeks.org/fractional-knapsack-problem/
find-minimum-number-of-coins,Minimum Number of Coins,Find minimum coins needed to make change,Easy,"Greedy,Array,Dynamic Programming","Amazon,Microsoft,Paytm",https://www.geeksforgeeks.org/find-minimum-number-of-coins-that-make-a-change/
assign-cookies,Assign Cookies,Maximize number of content children with cookies,Easy,"Array,Two Pointers,Greedy,Sorting",Amazon,https://leetcode.com/problems/assign-cookies/
subsets,Subsets,Generate all possible subsets of a set,Medium,"Array,Backtracking,Bit Manipulation","Amazon,Microsoft,Google,Facebook,Adobe",https://leetcode.com/problems/subsets/
subsets-ii,Subsets II,Generate all possible subsets with duplicates,Medium,"Array,Backtracking,Bit Manipulation","Amazon,Microsoft,Facebook",https://leetcode.com/problems/subsets-ii/
combination-sum,Combination Sum,Find all combinations that sum to target,Medium,"Array,Backtracking","Amazon,Microsoft,Google,Facebook,Airbnb",https://leetcode.com/problems/combination-sum/
combination-sum-ii,Combination Sum II,Find all unique combinations that sum to target,Medium,"Array,Backtracking","Amazon,Microsoft,Snapchat",https://leetcode.com/problems/combination-sum-ii/
palindrome-partitioning,Palindrome Partitioning,Partition string into palindrome substrings,Medium,"String,Dynamic Programming,Backtracking","Amazon,Google,Facebook,Bloomberg",https://leetcode.com/problems/palindrome-partitioning/
kth-permutation-sequence,K-th Permutation Sequence,Find the kth permutation of numbers 1 to n,Hard,"Math,Recursion","Amazon,Microsoft,Twitter",https://leetcode.com/problems/permutation-sequence/
permutations,Print All Permutations,Generate all permutations of an array,Medium,"Array,Backtracking","Amazon,Microsoft,Google,Facebook,LinkedIn",https://leetcode.com/problems/permutations/
n-queens,N Queens Problem,Place N queens on NxN chessboard,Hard,"Array,Backtracking","Amazon,Microsoft,Google,Uber",https://leetcode.com/problems/n-queens/
sudoku-solver,Sudoku Solver,Solve a 9x9 Sudoku puzzle,Hard,"Array,Backtracking,Matrix","Amazon,Microsoft,Google,Facebook,Uber,Snapchat",https://leetcode.com/problems/sudoku-solver/
m-coloring-problem,M-Coloring Problem,Color graph with M colors such that no adjacent vertices have same color,Medium,"Backtracking,Graph","Amazon,Microsoft",https://www.geeksforgeeks.org/m-coloring-problem-backtracking-5/
rat-in-a-maze,Rat in a Maze,Find all paths for rat to reach destination,Medium,"Array,Backtracking,Matrix","Amazon,Flipkart,Microsoft,Samsung",https://www.geeksforgeeks.org/rat-in-a-maze/
word-break,Word Break (Print all ways),Print all possible ways to break words,Hard,"Hash Table,String,Dynamic Programming,Backtracking,Trie,Memoization","Amazon,Microsoft,Google,Facebook",https://leetcode.com/problems/word-break-ii/
median-of-two-sorted-arrays,Median of Two Sorted Arrays,Find median of two sorted arrays,Hard,"Array,Binary Search,Divide and Conquer","Amazon,Microsoft,Google,Facebook,Adobe,Apple",https://leetcode.com/problems/median-of-two-sorted-arrays/
kth-element-of-two-sorted-arrays,K-th Element of Two Sorted Arrays,Find kth element in merged sorted arrays,Medium,"Array,Binary Search","Amazon,Microsoft,Google",https://www.geeksforgeeks.org/k-th-element-two-sorted-arrays/
allocate-minimum-pages,Allocate Minimum Number of Pages,Allocate books to minimize maximum pages,Hard,"Array,Binary Search","Amazon,Google,Flipkart",https://www.geeksforgeeks.org/allocate-minimum-number-pages/
aggressive-cows,Aggressive Cows,Place cows in stalls to maximize minimum distance,Hard,"Array,Binary Search","Amazon,Google",https://www.spoj.com/problems/AGGRCOW/
find-peak-element,Find Peak Element,Find a peak element in array,Medium,"Array,Binary Search","Amazon,Microsoft,Google,Facebook",https://leetcode.com/problems/find-peak-element/
search-in-rotated-sorted-array,Search in Rotated Sorted Array,Search element in rotated sorted array,Medium,"Array,Binary Search","Amazon,Microsoft,Google,Facebook,LinkedIn,Bloomberg",https://leetcode.com/problems/search-in-rotated-sorted-array/
median-in-a-row-wise-sorted-matrix,Median in a Row-Wise Sorted Matrix,Find median in row-wise sorted matrix,Hard,"Array,Binary Search,Matrix","Amazon,Flipkart",https://www.geeksforgeeks.org/find-median-row-wise-sorted-matrix/
single-element-in-sorted-array,Single Element in Sorted Array,Find the single element in sorted array where every other element appears twice,Medium,"Array,Binary Search","Amazon,Google",https://leetcode.com/problems/single-element-in-a-sorted-array/
kth-largest-element-in-an-array,Max Heap Implementation / Kth Largest Element,Find the kth largest element in an array,Medium,"Array,Divide and Conquer,Sorting,Heap,Quickselect","Amazon,Microsoft,Google,Facebook,LinkedIn,Bloomberg",https://leetcode.com/problems/kth-largest-element-in-an-array/
kth-smallest-element,Kth Smallest Element,Find the kth smallest element,Medium,"Array,Heap,Quickselect","Amazon,Microsoft,Google",https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix/
find-median-from-data-stream,Find Median from Data Stream,Design data structure to find median efficiently,Hard,"Two Pointers,Design,Sorting,Heap,Data Stream","Amazon,Microsoft,Google,Facebook,Apple",https://leetcode.com/problems/find-median-from-data-stream/
merge-k-sorted-lists,Merge K Sorted Lists,Merge k sorted linked lists,Hard,"Linked List,Divide and Conquer,Heap,Merge Sort","Amazon,Microsoft,Google,Facebook,Uber,Apple",https://leetcode.com/problems/merge-k-sorted-lists/
top-k-frequent-elements,Top K Frequent Elements,Find k most frequent elements,Medium,"Array,Hash Table,Divide and Conquer,Sorting,Heap,Bucket Sort,Quickselect","Amazon,Microsoft,Google,Facebook,Yelp",https://leetcode.com/problems/top-k-frequent-elements/
task-scheduler,Task Scheduler,Find minimum time to finish tasks with cooldown,Medium,"Array,Hash Table,Greedy,Sorting,Heap,Counting","Amazon,Microsoft,Google,Facebook",https://leetcode.com/problems/task-scheduler/
implement-stack-using-arrays,Implement Stack Using Arrays,Implement stack using arrays,Easy,"Array,Stack,Design","Amazon,Microsoft",https://www.geeksforgeeks.org/stack-data-structure-introduction-program/
implement-queue-using-arrays,Implement Queue Using Arrays,Implement queue using arrays,Easy,"Array,Queue,Design","Amazon,Microsoft",https://www.geeksforgeeks.org/queue-set-1introduction-and-array-implementation/
implement-stack-using-queue,Implement Stack using Queue,Implement stack using queue data structure,Easy,"Stack,Design,Queue","Amazon,Microsoft,Bloomberg",https://leetcode.com/problems/implement-stack-using-queues/
implement-queue-using-stack,Implement Queue using Stack,Implement queue using stack data structure,Easy,"Stack,Design,Queue","Amazon,Microsoft,Google,Bloomberg",https://leetcode.com/problems/implement-queue-using-stacks/
valid-parentheses,Check for Balanced Parentheses,Check if parentheses in string are balanced,Easy,"String,Stack","Amazon,Microsoft,Google,Facebook,Bloomberg",https://leetcode.com/problems/valid-parentheses/
next-greater-element,Next Greater Element,Find next greater element for each element,Medium,"Array,Stack,Monotonic Stack","Amazon,Google,Flipkart",https://leetcode.com/problems/next-greater-element-i/
sort-a-stack,Sort a Stack,Sort elements in a stack,Medium,"Stack,Recursion","Amazon,Microsoft",https://www.geeksforgeeks.org/sort-a-stack-using-recursion/
next-greater-element-ii,Next Greater Element II (Circular),Find next greater element in circular array,Medium,"Array,Stack,Monotonic Stack","Amazon,Google",https://leetcode.com/problems/next-greater-element-ii/
next-smaller-element,Next Smaller Element,Find next smaller element for each element,Medium,"Array,Stack,Monotonic Stack","Amazon,Flipkart",https://www.interviewbit.com/problems/nearest-smaller-element/
lru-cache,LRU Cache Implementation,Design and implement LRU cache,Medium,"Hash Table,Linked List,Design,Doubly-Linked List","Amazon,Microsoft,Google,Facebook,Apple,Bloomberg",https://leetcode.com/problems/lru-cache/
lfu-cache,LFU Cache Implementation,Design and implement LFU cache,Hard,"Hash Table,Linked List,Design,Doubly-Linked List","Amazon,Google,Facebook",https://leetcode.com/problems/lfu-cache/
largest-rectangle-in-histogram,Largest Rectangle in Histogram,Find area of largest rectangle in histogram,Hard,"Array,Stack,Monotonic Stack","Amazon,Microsoft,Google,Facebook,Uber",https://leetcode.com/problems/largest-rectangle-in-histogram/
sliding-window-maximum,Sliding Window Maximum,Find maximum in each sliding window,Hard,"Array,Queue,Sliding Window,Heap,Monotonic Queue","Amazon,Microsoft,Google,Facebook,Uber,Zenefits",https://leetcode.com/problems/sliding-window-maximum/
min-stack,Min Stack,Design stack with getMin operation in O(1),Medium,"Stack,Design","Amazon,Microsoft,Google,Bloomberg",https://leetcode.com/problems/min-stack/
rotting-oranges,Rotten Oranges (Using BFS),Find minimum time to rot all oranges,Medium,"Array,Breadth-First Search,Matrix","Amazon,Microsoft,Bloomberg",https://leetcode.com/problems/rotting-oranges/
stock-span-problem,Stock Span Problem,Calculate stock span for each day,Medium,"Array,Stack,Monotonic Stack","Amazon,Flipkart,Microsoft",https://leetcode.com/problems/online-stock-span/
celebrity-problem,The Celebrity Problem,Find the celebrity in a party,Medium,"Array,Two Pointers,Graph","Amazon,Microsoft,Google",https://www.geeksforgeeks.org/the-celebrity-problem/
reverse-words-in-a-string,Reverse Words in a String,Reverse the order of words in a string,Medium,"Two Pointers,String","Amazon,Microsoft,Google,Facebook,Bloomberg",https://leetcode.com/problems/reverse-words-in-a-string/
longest-palindromic-substring,Longest Palindromic Substring,Find the longest palindromic substring,Medium,"String,Dynamic Programming","Amazon,Microsoft,Google,Facebook,Apple,Adobe",https://leetcode.com/problems/longest-palindromic-substring/
roman-to-integer,Roman Numeral to Integer,Convert Roman numeral to integer,Easy,"Hash Table,Math,String","Amazon,Microsoft,Google,Facebook,Apple,Adobe,Yahoo,Bloomberg",https://leetcode.com/problems/roman-to-integer/
string-to-integer-atoi,String to Integer (atoi),Implement atoi function,Medium,String,"Amazon,Microsoft,Google,Facebook,Bloomberg",https://leetcode.com/problems/string-to-integer-atoi/
longest-common-prefix,Longest Common Prefix,Find longest common prefix string,Easy,String,"Amazon,Microsoft,Google,Facebook",https://leetcode.com/problems/longest-common-prefix/
rabin-karp,Rabin Karp Algorithm,String matching using Rabin Karp,Hard,"String,Sliding Window,Hash Function,Rolling Hash","Google,Facebook",https://www.geeksforgeeks.org/rabin-karp-algorithm-for-pattern-searching/
kmp-algorithm,KMP Algorithm / LPS Array,Pattern matching using KMP algorithm,Hard,"String,String Matching","Amazon,Microsoft,Google",https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string/
minimum-characters-to-make-palindrome,Minimum Characters for Palindrome,Minimum insertions to make string palindrome,Hard,"String,Dynamic Programming","Amazon,Paytm",https://www.interviewbit.com/problems/minimum-characters-required-to-make-a-string-palindromic/
anagrams-together,Group Anagrams,Group anagrams together,Medium,"Array,Hash Table,String,Sorting","Amazon,Microsoft,Google,Facebook,Uber,Bloomberg",https://leetcode.com/problems/group-anagrams/
count-and-say,Count and Say,Generate nth term of count-and-say sequence,Medium,String,"Amazon,Microsoft,Facebook",https://leetcode.com/problems/count-and-say/
compare-version-numbers,Compare Version Numbers,Compare two version numbers,Medium,"Two Pointers,String","Amazon,Microsoft,Apple",https://leetcode.com/problems/compare-version-numbers/
z-function,Z-Function,Compute Z-array for pattern matching,Hard,"String,String Matching",Google,https://www.geeksforgeeks.org/z-algorithm-linear-time-pattern-searching-algorithm/
binary-tree-inorder-traversal,Inorder Traversal,Inorder traversal of binary tree,Easy,"Stack,Tree,Depth-First Search,Binary Tree","Amazon,Microsoft,Google,Facebook",https://leetcode.com/problems/binary-tree-inorder-traversal/
binary-tree-preorder-traversal,Preorder Traversal,Preorder traversal of binary tree,Easy,"Stack,Tree,Depth-First Search,Binary Tree","Amazon,Microsoft,Google",https://leetcode.com/problems/binary-tree-preorder-traversal/
binary-tree-postorder-traversal,Postorder Traversal,Postorder traversal of binary tree,Easy,"Stack,Tree,Depth-First Search,Binary Tree","Amazon,Microsoft,Google",https://leetcode.com/problems/binary-tree-postorder-traversal/
morris-traversal,Morris Inorder Traversal,Inorder traversal using Morris algorithm,Medium,"Tree,Depth-First Search,Binary Tree","Microsoft,Google",https://www.geeksforgeeks.org/inorder-tree-traversal-without-recursion-and-without-stack/
binary-tree-level-order-traversal,Level Order Traversal,Level order traversal of binary tree,Medium,"Tree,Breadth-First Search,Binary Tree","Amazon,Microsoft,Google,Facebook,LinkedIn",https://leetcode.com/problems/binary-tree-level-order-traversal/
maximum-depth-of-binary-tree,Height/Max Depth of Binary Tree,Find maximum depth of binary tree,Easy,"Tree,Depth-First Search,Breadth-First Search,Binary Tree","Amazon,Microsoft,Google,Facebook,LinkedIn",https://leetcode.com/problems/maximum-depth-of-binary-tree/
diameter-of-binary-tree,Diameter of Binary Tree,Find diameter of binary tree,Easy,"Tree,Depth-First Search,Binary Tree","Amazon,Microsoft,Google,Facebook",https://leetcode.com/problems/diameter-of-binary-tree/
balanced-binary-tree,Check if Binary Tree is Balanced,Check if binary tree is height-balanced,Easy,"Tree,Depth-First Search,Binary Tree","Amazon,Microsoft,Bloomberg",https://leetcode.com/problems/balanced-binary-tree/
binary-tree-zigzag-level-order-traversal,Zigzag Level Order Traversal,Zigzag level order traversal of binary tree,Medium,"Tree,Breadth-First Search,Binary Tree","Amazon,Microsoft,LinkedIn,Bloomberg",https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/
same-tree,Check if Two Trees are Identical,Check if two binary trees are identical,Easy,"Tree,Depth-First Search,Breadth-First Search,Binary Tree","Amazon,Microsoft,Google,Bloomberg",https://leetcode.com/problems/same-tree/
binary-tree-right-side-view,Right/Left View of Binary Tree,Return right side view of binary tree,Medium,"Tree,Depth-First Search,Breadth-First Search,Binary Tree","Amazon,Microsoft,Facebook,Bloomberg",https://leetcode.com/problems/binary-tree-right-side-view/
symmetric-tree,Check for Symmetrical Binary Tree,Check if tree is mirror of itself,Easy,"Tree,Depth-First Search,Breadth-First Search,Binary Tree","Amazon,Microsoft,Google,LinkedIn",https://leetcode.com/problems/symmetric-tree/
binary-tree-maximum-path-sum,Binary Tree Maximum Path Sum,Find maximum path sum in binary tree,Hard,"Dynamic Programming,Tree,Depth-First Search,Binary Tree","Amazon,Microsoft,Google,Facebook,Apple",https://leetcode.com/problems/binary-tree-maximum-path-sum/
construct-binary-tree-from-preorder-and-inorder,Construct Binary Tree from Preorder and Inorder,Build tree from preorder and inorder traversals,Medium,"Array,Hash Table,Divide and Conquer,Tree,Binary Tree","Amazon,Microsoft,Google,Facebook,Bloomberg",https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/
construct-binary-tree-from-postorder-and-inorder,Construct Binary Tree from Postorder and Inorder,Build tree from postorder and inorder traversals,Medium,"Array,Hash Table,Divide and Conquer,Tree,Binary Tree","Amazon,Microsoft,Facebook",https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal/
serialize-and-deserialize-binary-tree,Serialize and Deserialize Binary Tree,Design algorithm to serialize and deserialize tree,Hard,"String,Tree,Depth-First Search,Breadth-First Search,Design,Binary Tree","Amazon,Microsoft,Google,Facebook,Uber,LinkedIn",https://leetcode.com/problems/serialize-and-deserialize-binary-tree/
flatten-binary-tree-to-linked-list,Flatten Binary Tree to Linked List,Flatten tree to linked list in-place,Medium,"Linked List,Stack,Tree,Depth-First Search,Binary Tree","Amazon,Microsoft,Google,Facebook",https://leetcode.com/problems/flatten-binary-tree-to-linked-list/
lowest-common-ancestor-of-a-binary-tree,Lowest Common Ancestor,Find LCA of two nodes in binary tree,Medium,"Tree,Depth-First Search,Binary Tree","Amazon,Microsoft,Google,Facebook,LinkedIn,Apple",https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/
binary-tree-paths,Root to Leaf Paths,Find all root-to-leaf paths,Easy,"String,Backtracking,Tree,Depth-First Search,Binary Tree","Amazon,Google,Facebook",https://leetcode.com/problems/binary-tree-paths/
validate-binary-search-tree,Validate Binary Search Tree,Check if tree is valid BST,Medium,"Tree,Depth-First Search,Binary Search Tree,Binary Tree","Amazon,Microsoft,Google,Facebook,LinkedIn,Bloomberg",https://leetcode.com/problems/validate-binary-search-tree/
kth-smallest-element-in-a-bst,Kth Smallest Element in BST,Find kth smallest element in BST,Medium,"Tree,Depth-First Search,Binary Search Tree,Binary Tree","Amazon,Microsoft,Google,Facebook,Uber",https://leetcode.com/problems/kth-smallest-element-in-a-bst/
inorder-successor-in-bst,Inorder Successor in BST,Find inorder successor of a node,Medium,"Tree,Depth-First Search,Binary Search Tree,Binary Tree","Amazon,Microsoft,Google,Facebook",https://www.geeksforgeeks.org/inorder-successor-in-binary-search-tree/
clone-graph,Clone a Graph,Create a deep copy of graph,Medium,"Hash Table,Depth-First Search,Breadth-First Search,Graph","Amazon,Microsoft,Google,Facebook,Bloomberg",https://leetcode.com/problems/clone-graph/
dfs-of-graph,DFS Traversal,Depth-first search traversal of graph,Easy,"Depth-First Search,Breadth-First Search,Graph","Amazon,Microsoft,Google",https://www.geeksforgeeks.org/depth-first-search-or-dfs-for-a-graph/
bfs-of-graph,BFS Traversal,Breadth-first search traversal of graph,Easy,"Breadth-First Search,Graph","Amazon,Microsoft,Google,Facebook",https://www.geeksforgeeks.org/breadth-first-search-or-bfs-for-a-graph/
number-of-islands,Number of Islands (Connected Components),Count number of islands in 2D grid,Medium,"Array,Depth-First Search,Breadth-First Search,Union Find,Matrix","Amazon,Microsoft,Google,Facebook,Uber,Bloomberg",https://leetcode.com/problems/number-of-islands/
detect-cycle-in-undirected-graph,Detect Cycle in Undirected Graph,Detect cycle in undirected graph using BFS/DFS,Medium,"Depth-First Search,Breadth-First Search,Union Find,Graph","Amazon,Microsoft,Google",https://www.geeksforgeeks.org/detect-cycle-undirected-graph/
detect-cycle-in-directed-graph,Detect Cycle in Directed Graph,Detect cycle in directed graph using DFS,Medium,"Depth-First Search,Breadth-First Search,Graph","Amazon,Microsoft,Google,Facebook",https://www.geeksforgeeks.org/detect-cycle-in-a-graph/
topological-sort,Topological Sort (DFS),Topological sorting of DAG,Medium,"Depth-First Search,Breadth-First Search,Graph,Topological Sort","Amazon,Microsoft,Google,Facebook",https://www.geeksforgeeks.org/topological-sorting/
course-schedule,Course Schedule (Topological Sort - BFS),Check if all courses can be finished,Medium,"Depth-First Search,Breadth-First Search,Graph,Topological Sort","Amazon,Microsoft,Google,Facebook,Uber",https://leetcode.com/problems/course-schedule/
bipartite-graph,Check for Bipartite Graph (BFS),Check if graph is bipartite,Medium,"Depth-First Search,Breadth-First Search,Union Find,Graph","Amazon,Microsoft,Google,Facebook",https://leetcode.com/problems/is-graph-bipartite/
