slug,title,description,difficulty,categories,companyTags,externalPlatformUrl,solutionUrl
max-value-of-equation,Max Value of Equation,"Find the maximum value of the equation yi + yj + |xi - xj| for two points (xi, yi) and (xj, yj) such that |xi - xj| <= k.",Hard,"Array, Sliding Window, Heap","Google, Amazon",https://leetcode.com/problems/max-value-of-equation/,https://leetcode.com/problems/max-value-of-equation/solutions/7430684/c-clear-and-efficient-solution-beats-100-p8y8
insert-delete-getrandom-o1-duplicates-allowed,Insert Delete GetRandom O(1) - Duplicates allowed,"Design a data structure that supports insertion, deletion, and getting a random element, all in O(1) time, even with duplicates.",Hard,"Design, Hash Map, Array","Google, Amazon",https://leetcode.com/problems/insert-delete-getrandom-o1-duplicates-allowed/,https://leetcode.com/problems/insert-delete-getrandom-o1-duplicates-allowed/solutions/7339090/extended-solution-of-part1-by-king-t_736-myyb
largest-rectangle-in-histogram,Largest Rectangle in Histogram,Find the largest rectangular area possible in a given histogram.,Hard,"Stack, Array, Monotonic Stack","Amazon, Google",https://leetcode.com/problems/largest-rectangle-in-histogram/,https://algo.monster/liteproblems/84
valid-parentheses,Valid Parentheses,"Determine if the input string containing just the characters '(', ')', '{', '}', '[' and ']' is valid.",Easy,"Stack, String, Data Structure","Amazon, Microsoft",https://leetcode.com/problems/valid-parentheses/description/,https://algomap.io/problems/valid-parentheses
print-all-the-duplicate-characters-in-a-string,Print all the duplicate characters in a string,Find and output all characters that appear more than once in a given string.,Easy,"String, Hash Table, Counting","Amazon, Google",https://www.geeksforgeeks.org/dsa/print-all-the-duplicates-in-the-input-string/,https://www.geeksforgeeks.org/dsa/print-all-the-duplicates-in-the-input-string/
find-the-index-of-the-first-occurrence-in-a-string,Find the Index of the First Occurrence in a String,Determine the starting index of a needle string within a haystack string.,Easy,"String, String Matching, Two Pointers","Google, Microsoft",https://www.geeksforgeeks.org/problems/construct-tree-from-preorder-traversal/1,https://algo.monster/liteproblems/28
longest-common-prefix,Longest Common Prefix,Find the longest string that is a prefix of all strings in a given array.,Easy,"String, Array, Prefix","Google, Amazon",https://leetcode.com/problems/longest-common-prefix/,https://algo.monster/liteproblems/14
valid-palindrome-ii,Valid Palindrome II,Determine if a string can become a palindrome by deleting at most one character.,Easy,"Greedy, Two Pointers, String","Google, Amazon",https://leetcode.com/problems/valid-palindrome-ii/,https://algo.monster/liteproblems/680
integer-to-roman,Integer to Roman,Convert a given integer into its Roman numeral representation.,Medium,"Math, String, Greedy","Google, Amazon",https://leetcode.com/problems/integer-to-roman/,https://algo.monster/liteproblems/12
generate-parentheses,Generate Parentheses,Generate all combinations of well-formed parentheses given a number of pairs.,Medium,"Backtracking, Recursion, String","Google, Amazon",https://leetcode.com/problems/reverse-words-in-a-string,https://algo.monster/liteproblems/22
simplify-path,Simplify Path,Convert a Unix-style absolute path into its simplified canonical form.,Medium,"String, Stack","Google, Amazon",https://leetcode.com/problems/simplify-path/,https://leetcode.com/problems/simplify-path/solutions/3407361/easy-solutions-in-java-python-and-c-look-0a1r
minimum-window-substring,Minimum Window Substring,Find the smallest contiguous substring in one string that contains all characters of another string.,Hard,"String, Hash Table, Sliding Window","Google, Amazon",https://leetcode.com/problems/minimum-window-substring/,https://leetcode.com/problems/minimum-window-substring/solutions/4673541/beats-100-explained-any-language-by-prod-7gfe
reverse-words-in-a-string,Reverse Words in a String,Reverse the order of words in a given input string.,Medium,"String, Two Pointers, Array","Amazon, Microsoft",https://leetcode.com/problems/reverse-words-in-a-string/,https://youtu.be/MoCqrkt-BTI
rabin-karp-algorithm-for-pattern-searching,Rabin-Karp Algorithm for Pattern Searching,The Rabin-Karp algorithm uses hashing to efficiently find pattern occurrences within a text.,Hard,"String, Searching, Hashing","Google, Microsoft",https://www.geeksforgeeks.org/cpp/implementation-of-rabin-karp-algorithm-in-cpp/,https://www.baeldung.com/cs/rabin-karp-algorithm
group-anagrams,Group Anagrams,"Given an array of strings, group the anagrams together.",Medium,"Hash Table, String, Array","Amazon, Google",https://leetcode.com/problems/group-anagrams/,https://neetcode.io/solutions/group-anagrams
word-wrap,Word Wrap,Arrange a sequence of words into lines such that the total cost of extra spaces at the end of lines is minimized.,Hard,"Dynamic Programming, String, Greedy","Amazon, Microsoft",https://www.geeksforgeeks.org/dsa/word-wrap-problem-dp-19/,https://www.geeksforgeeks.org/dsa/word-wrap-problem-dp-19/
basic-calculator-ii,Basic Calculator II,"Implement a basic calculator to evaluate a simple string expression involving addition, subtraction, multiplication, and division.",Medium,"Stack, String, Math","Google, Amazon",https://leetcode.com/problems/basic-calculator-ii/,https://algo.monster/liteproblems/227
valid-number,Valid Number,Determine if a given string represents a valid numeric value.,Hard,"String, Finite State Machine, Logic","Google, Microsoft",https://leetcode.com/problems/valid-number/,https://algo.monster/liteproblems/65
integer-to-english-words,Integer to English Words,Convert a non-negative integer into its English word representation.,Hard,"Math, String, Recursion","Google, Amazon",https://www.geeksforgeeks.org/problems/smallest-window-in-a-string-containing-all-the-characters-of-another-string-1587115621/1,https://algo.monster/liteproblems/273
minimum-window-substring-2,Minimum Window Substring,Find the smallest substring in a string that contains all characters of another string.,Hard,"Sliding Window, Hash Map, String","Google, Amazon",https://leetcode.com/problems/minimum-window-substring/,https://leetcode.com/problems/minimum-window-substring/solutions/5756564/video-sliding-window-solution-by-niits-gnec
text-justification,Text Justification,Arrange a sequence of words into lines of a given width so that the lines are justified.,Hard,"Dynamic Programming, String, Greedy","Google, Amazon",https://leetcode.com/problems/text-justification/,https://algo.monster/liteproblems/68
boyer-moore-algorithm-for-pattern-searching,Boyer Moore Algorithm for Pattern Searching,"The Boyer-Moore algorithm is an efficient string-search algorithm that preprocesses the pattern to skip multiple characters in the text, matching from the end of the pattern backward.",Hard,"String, String Matching, Algorithms","Google, Microsoft",https://www.geeksforgeeks.org/dsa/boyer-moore-algorithm-for-pattern-searching/,https://www.geeksforgeeks.org/dsa/boyer-moore-algorithm-for-pattern-searching/
distinct-subsequences,Distinct Subsequences,Find the number of distinct subsequences of a string S that equals another string T.,Hard,"String, Dynamic Programming","Google, Amazon",https://leetcode.com/problems/distinct-subsequences/,https://leetcode.com/problems/distinct-subsequences/solutions/7329112/all-in-one-solution-9977-beats-dynamic-p-o6n2
print-anagrams-together,Print Anagrams Together,Group a list of strings into sets of anagrams.,Medium,"Hash Map, String, Array",Facebook,https://www.geeksforgeeks.org/problems/print-anagrams-together/1,https://www.geeksforgeeks.org/problems/print-anagrams-together/1
maximal-rectangle,Maximal Rectangle,Find the largest rectangle containing only ones in a binary matrix.,Hard,"Array, Dynamic Programming, Stack","Google, Amazon",https://leetcode.com/problems/maximal-rectangle/,https://leetcode.com/problems/maximal-rectangle/solutions/7484644/histogram-monotonic-stack-time-om-x-n-sp-fb2p
number-of-islands,Number of Islands,Determine the count of distinct islands in a 2D grid of 1s (land) and 0s (water) using DFS.,Medium,"Graph, Depth-First Search, Matrix","Google, Amazon",https://leetcode.com/problems/number-of-islands/,https://algo.monster/liteproblems/200
spiral-matrix,Spiral Matrix,Traverse a given matrix in a spiral order.,Hard,"Array, Matrix, Simulation","Amazon, Google",https://leetcode.com/problems/spiral-matrix/,https://algo.monster/liteproblems/54
rotate-image,Rotate Image,Rotate an image represented by an $n \times n$ matrix by 90 degrees clockwise in place.,Medium,"Array, Matrix, In-Place Operations","Google, Amazon",https://leetcode.com/problems/rotate-image/,https://leetcode.com/problems/rotate-image/solutions/7484792/clean-simple-beats-easy-to-understand-ef-alpj
minimum-moves-to-equal-array-elements,Minimum Moves to Equal Array Elements,Find the minimum moves required to make all elements in an array equal by incrementing n-1 elements by 1 in each move.,Medium,"Array, Math, Optimization","Google, Amazon",https://leetcode.com/problems/minimum-moves-to-equal-array-elements/,https://leetcode.com/problems/minimum-moves-to-equal-array-elements/solutions/6449676/easy-mathematical-approach-beats-100-by-uipzl
add-binary,Add Binary,Add two binary strings and return their sum as a binary string.,Easy,"String, Math, Bit Manipulation","Google, Amazon",https://algo.monster/liteproblems/67,https://algo.monster/liteproblems/67
maximum-product-of-three-numbers,Maximum Product of Three Numbers,Find the maximum product of any three numbers in a given array.,Easy,"Array, Math, Sorting","Google, Amazon",https://leetcode.com/problems/maximum-product-of-three-numbers/,https://leetcode.com/problems/maximum-product-of-three-numbers/solutions/6725082/master-the-max-triple-product-with-just-vkwwf
excel-sheet-column-title,Excel Sheet Column Title,"Given a positive integer, return its corresponding column title as it appears in an Excel sheet.",Easy,"Math, String, Implementation","Microsoft, Amazon",https://leetcode.com/problems/excel-sheet-column-title/,https://algomap.io/question-bank/excel-sheet-column-title
product-of-array-except-self,Product of Array Except Self,Return an array where each element is the product of all other elements in the input array.,Medium,"Array, Prefix Sum, Dynamic Programming","Amazon, Google",https://leetcode.com/problems/product-of-array-except-self/,https://www.geeksforgeeks.org/dsa/a-product-array-puzzle/
sort-colors,Sort Colors,"Sort an array containing elements 0, 1, and 2 in place.",Medium,"Array, Sorting, Two Pointers","Google, Amazon",https://leetcode.com/problems/implement-queue-using-stacks,https://algo.monster/liteproblems/75
longest-repeating-character-replacement,Longest Repeating Character Replacement,Find the length of the longest substring with all same characters after performing at most K replacements.,Medium,"String, Sliding Window, Hash Map","Zoho, Ion",https://leetcode.com/problems/longest-repeating-character-replacement/,https://algo.monster/liteproblems/424
permute-two-arrays-such-that-sum-of-every-pair-is-greater-or-equal-to-k,Permute two arrays such that sum of every pair is greater or equal to K,Determine if two arrays can be reordered so that the sum of every pair of corresponding elements is at least K.,Medium,"Greedy, Sorting, Array","Amazon, Microsoft",https://www.geeksforgeeks.org/dsa/permute-two-arrays-sum-every-pair-greater-equal-k/,https://www.geeksforgeeks.org/dsa/permute-two-arrays-sum-every-pair-greater-equal-k/
ceiling-in-a-sorted-array,Ceiling in a sorted array,Find the smallest element in a sorted array that is greater than or equal to a given value x.,Easy,"Array, Binary Search","Amazon, Microsoft",https://www.geeksforgeeks.org/problems/ceil-in-a-sorted-array/0,https://www.geeksforgeeks.org/problems/ceil-in-a-sorted-array/0
pair-with-the-given-difference,Pair with the given difference,Find a pair of elements in an array whose difference equals a given value.,Medium,"Array, Hash Table, Two Pointers","Amazon, Microsoft",https://www.geeksforgeeks.org/dsa/find-a-pair-with-the-given-difference/,https://www.geeksforgeeks.org/dsa/find-a-pair-with-the-given-difference/
permutations,Permutations,Generate all possible arrangements of the elements in a given array.,Medium,"Backtracking, Array, Recursion","Google, Amazon",https://leetcode.com/problems/permutations/,https://leetcode.com/problems/permutations/solutions/
check-if-reversing-a-sub-array-make-the-array-sorted,Check if reversing a sub array make the array sorted,Determine if a single reversal of a subarray can make the entire array sorted.,Medium,"Array, Sorting, Two Pointers","Amazon, Microsoft",https://www.geeksforgeeks.org/dsa/check-reversing-sub-array-make-array-sorted/,https://www.geeksforgeeks.org/dsa/check-reversing-sub-array-make-array-sorted/
radix-sort,Radix Sort,Radix Sort is a non-comparative sorting algorithm that sorts integers by processing individual digits from least significant to most significant.,Hard,"Sorting, Array, Bucket Sort","Amazon, Google",https://www.geeksforgeeks.org/dsa/radix-sort/,https://www.geeksforgeeks.org/dsa/radix-sort/
find-peak-element,Find Peak Element,Find an element in an array that is strictly greater than its neighbors.,Medium,"Array, Binary Search","Google, Amazon",https://leetcode.com/problems/find-peak-element/,https://algo.monster/liteproblems/162
allocate-minimum-number-of-pages,Allocate minimum number of pages,The problem is to allocate books to a given number of students such that the maximum number of pages assigned to any student is minimized.,Hard,"Binary Search, Arrays, Greedy","Amazon, Google",https://www.geeksforgeeks.org/problems/implement-two-stacks-in-an-array/1,https://www.geeksforgeeks.org/problems/implement-two-stacks-in-an-array/1
aggressive-cows,Aggressive Cows,Determine the largest minimum distance between cows placed in given stalls.,Hard,"Binary Search, Arrays, Greedy","Google, Amazon",https://www.geeksforgeeks.org/problems/radix-sort/1,https://leetcode.com/problems/middle-of-the-linked-list/solutions/4834682/beat-10000-full-explanation-with-picture-ydqh
minimum-swaps-to-sort,Minimum Swaps to Sort,Determine the minimum number of swaps required to sort an array.,Medium,"Array, Sorting, Greedy","Amazon, Microsoft",https://www.geeksforgeeks.org/problems/minimum-swaps/1,https://www.geeksforgeeks.org/problems/minimum-swaps/1
search-in-rotated-sorted-array,Search in Rotated Sorted Array,"Search for a target value in an array that was originally sorted but has been rotated at an unknown pivot, with an O(log n) runtime complexity requirement.",Medium,"Array, Binary Search","Google, Amazon",https://leetcode.com/problems/search-in-rotated-sorted-array/,https://takeuforward.org/data-structure/search-element-in-a-rotated-sorted-array
count-of-smaller-numbers-after-self,Count of Smaller Numbers After Self,"Given an array, return a new array where each element is the count of smaller numbers to its right in the original array.",Hard,"Divide and Conquer, Array, Merge Sort","Google, Amazon",https://leetcode.com/problems/count-of-smaller-numbers-after-self/,https://leetcode.com/problems/count-of-smaller-numbers-after-self/solutions/6829778/clean-short-solution-using-binary-search-86yl
split-array-largest-sum,Split Array Largest Sum,Find the minimum possible value for the largest sum among $k$ or fewer subarrays after splitting the array.,Hard,"Binary Search, Array, Dynamic Programming","Google, Amazon",https://leetcode.com/problems/excel-sheet-column-title,https://takeuforward.org/arrays/split-array-largest-sum
first-missing-positive,First Missing Positive,Find the smallest positive integer that is missing from an unsorted array.,Hard,"Array, Hash Table, Sorting","Google, Amazon",https://leetcode.com/problems/first-missing-positive/,https://neetcode.io/solutions/first-missing-positive
middle-of-the-linked-list,Middle of the Linked List,Find the middle node of a singly linked list.,Easy,"Linked List, Two Pointers","Amazon, Microsoft",https://leetcode.com/problems/middle-of-the-linked-list/,https://leetcode.com/problems/middle-of-the-linked-list/solutions/6776553/2-approaches-beginner-freindlyvisualizat-glv1
linked-list-cycle,Linked List Cycle,Determine if a cycle exists in a given linked list.,Easy,"Linked List, Two Pointers, Algorithm","Amazon, Microsoft",https://leetcode.com/problems/linked-list-cycle/,https://leetcode.com/problems/linked-list-cycle/solutions/6556606/0ms-100-step-by-step-explained-with-visu-fpe6
convert-binary-number-in-a-linked-list-to-integer,Convert Binary Number in a Linked List to Integer,Convert a linked list representing a binary number into its integer value.,Easy,"Linked List, Bit Manipulation, Math","Amazon, Microsoft",https://leetcode.com/problems/convert-binary-number-in-a-linked-list-to-integer/,https://algo.monster/liteproblems/1290
remove-duplicates-from-sorted-list,Remove Duplicates from Sorted List,"Given the head of a sorted linked list, remove all duplicate values so that each element appears only once, maintaining the sorted order.",Easy,"Linked List, Two Pointers","Amazon, Microsoft",https://leetcode.com/problems/partition-list,https://algo.monster/liteproblems/83
sort-a-linked-list-of-0s-1s-and-2s,"Sort a linked list of 0s, 1s and 2s","Sort a given linked list containing only the values 0, 1, and 2.",Medium,"Linked List, Sorting, Two Pointers",No Data,https://www.geeksforgeeks.org/problems/given-a-linked-list-of-0s-1s-and-2s-sort-it/1,https://github.com/Hunterdii/GeeksforGeeks-POTD/blob/main/April%202025%20GFG%20SOLUTION/29(Apr)%20Sort%20a%20linked%20list%20of%200s%2C%201s%20and%202s.md
remove-linked-list-elements,Remove Linked List Elements,Remove all nodes from a linked list that have a specific value.,Easy,"Linked List, Two Pointers, Recursion","Google, Microsoft",https://leetcode.com/problems/remove-linked-list-elements/,https://algo.monster/liteproblems/203
merge-two-sorted-lists,Merge Two Sorted Lists,Merge two sorted linked lists into a single sorted list.,Easy,"Linked List, Recursion, Two Pointers","Amazon, Microsoft",https://leetcode.com/problems/merge-two-sorted-lists/,https://algo.monster/liteproblems/21
multiply-two-linked-lists,Multiply two linked lists,Write a function to multiply two numbers represented by linked lists.,Medium,"Linked List, Math, Simulation","Amazon, Microsoft",https://leetcode.com/problems/remove-duplicates-from-sorted-list,https://www.geeksforgeeks.org/problems/multiply-two-linked-lists/1
intersection-of-two-linked-lists,Intersection of Two Linked Lists,The problem is to find the node where two singly linked lists intersect.,Medium,"Linked List, Two Pointers","Amazon, Microsoft",https://leetcode.com/problems/intersection-of-two-linked-lists/,https://algo.monster/liteproblems/160
delete-nodes-having-greater-value-on-right,Delete nodes having greater value on right,Remove all nodes in a singly linked list that have a node with a greater value appearing on their right.,Medium,"Linked List, Stack, Traversal","Google, Amazon",https://leetcode.com/problems/reorder-list,https://leetcode.com/problems/remove-nodes-from-linked-list/
palindrome-linked-list,Palindrome Linked List,Determine if a given linked list is a palindrome.,Easy,"Linked List, Two Pointers, Stack",Accenture,https://leetcode.com/problems/palindrome-linked-list/,https://leetcode.com/problems/palindrome-linked-list/solutions/1137027/js-python-java-c-easy-floyds-reversal-so-pv1b
reverse-linked-list,Reverse Linked List,Reverse the order of nodes in a given singly linked list.,Easy,"Linked List, Recursion, Two Pointers","Amazon, Microsoft",https://leetcode.com/problems/reverse-linked-list/,https://neetcode.io/solutions/reverse-linked-list
add-two-numbers,Add Two Numbers,"Add two numbers represented by linked lists, where each node contains a single digit and the digits are stored in reverse order.",Medium,"Linked List, Math, Pointers","Amazon, Microsoft",https://leetcode.com/problems/add-two-numbers/,https://algo.monster/liteproblems/2
copy-list-with-random-pointer,Copy List with Random Pointer,Create a deep copy of a linked list where each node contains both a next pointer and a random pointer.,Medium,"Linked List, Hash Table, Deep Copy","Amazon, Microsoft",https://leetcode.com/problems/copy-list-with-random-pointer/,https://algo.monster/liteproblems/138
add-two-numbers-ii,Add Two Numbers II,Add two numbers represented by linked lists in reverse order.,Medium,"Linked List, Stack, Math","Amazon, Google",https://leetcode.com/problems/add-two-numbers-ii/,https://leetcode.com/problems/add-two-numbers-ii/solutions/6648849/conquer-linked-list-addition-by-string-c-gddb
reverse-linked-list-ii,Reverse Linked List II,Reverse the nodes of a linked list from position m to n.,Medium,"Linked List, Two Pointer, Dummy Node","Amazon, Microsoft",https://leetcode.com/problems/reverse-linked-list-ii/,https://algo.monster/liteproblems/92
reorder-list,Reorder List,Reorder a singly linked list so that nodes alternate between the start and end of the original list.,Hard,"Linked List, Two Pointers","Google, Amazon",https://leetcode.com/problems/reorder-list/,https://algo.monster/liteproblems/143
remove-nth-node-from-end-of-list,Remove Nth Node From End of List,Remove the specified node from the end of a linked list.,Medium,"Linked List, Two Pointers, Pointers","Google, Amazon",https://leetcode.com/problems/remove-nth-node-from-end-of-list/,https://algo.monster/liteproblems/19
flatten-a-multilevel-doubly-linked-list,Flatten a Multilevel Doubly Linked List,"Convert a multilevel doubly linked list, where nodes can have a child linked list, into a single-level doubly linked list.",Medium,"Linked List, Doubly Linked List, Recursion","Amazon, Microsoft",https://leetcode.com/problems/flatten-a-multilevel-doubly-linked-list/,https://leetcode.com/problems/flatten-a-multilevel-doubly-linked-list/solutions/7481600/most-optimal-java-approaches-dfs-recursi-za49
partition-list,Partition List,"Rearrange a linked list so all nodes less than a given value $x$ precede nodes greater than or equal to $x$, while preserving the original relative order within both partitions.",Medium,"Linked List, Two Pointers, Pointers","Amazon, Microsoft",https://leetcode.com/problems/reverse-linked-list,https://algo.monster/liteproblems/86
remove-duplicates-from-sorted-list-ii,Remove Duplicates from Sorted List II,"Given a sorted linked list, delete all nodes that have duplicate numbers, leaving only distinct numbers from the original list.",Medium,"Linked List, Two Pointers","Google, Microsoft",https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii/,https://algo.monster/liteproblems/82
rearrange-a-linked-list-in-zig-zag-fashion,Rearrange a Linked List in Zig-Zag fashion,Rearrange a singly linked list so that nodes alternate between increasing and decreasing order.,Medium,"Linked List, Sorting, Reordering","Amazon, Microsoft",https://www.geeksforgeeks.org/problems/linked-list-in-zig-zag-fashion/1,https://www.geeksforgeeks.org/problems/linked-list-in-zig-zag-fashion/1
sort-list,Sort List,Sort a given linked list in ascending order.,Medium,"Linked List, Sorting","Google, Amazon",https://leetcode.com/problems/sort-list/description/,https://algo.monster/liteproblems/148
segregate-even-and-odd-nodes-in-a-linked-list,Segregate even and odd nodes in a Linked List,Rearrange the nodes of a given linked list so that all even number nodes appear before all odd number nodes.,Medium,"Linked List, Two Pointers","Amazon, Microsoft",https://www.geeksforgeeks.org/dsa/segregate-even-and-odd-elements-in-a-linked-list/,https://www.geeksforgeeks.org/dsa/segregate-even-and-odd-elements-in-a-linked-list/
rearrange-a-given-linked-list-in-place,Rearrange a given linked list in-place,Rearrange the nodes of a given linked list in-place.,Medium,"Linked List, Two Pointers, Manipulation","Google, Amazon",https://www.geeksforgeeks.org/dsa/rearrange-a-given-linked-list-in-place/,https://www.geeksforgeeks.org/dsa/rearrange-a-given-linked-list-in-place/
merge-k-sorted-lists,Merge k Sorted Lists,Merge k sorted linked lists into a single sorted list.,Hard,"Linked List, Heap (Priority Queue), Divide and Conquer","Amazon, Google",https://leetcode.com/problems/merge-k-sorted-lists/,https://leetcode.com/problems/merge-k-sorted-lists/
reverse-nodes-in-k-group,Reverse Nodes in k-Group,Reverse the nodes of a given linked list in groups of size k.,Hard,"Recursion, Linked List","Microsoft, Amazon",https://leetcode.com/problems/reverse-nodes-in-k-group/,https://algo.monster/liteproblems/25
subtraction-in-linked-list,Subtraction in Linked List,Find the difference between two linked lists representing numbers.,Hard,"Linked List, Math, Hard","Amazon, Microsoft",https://www.geeksforgeeks.org/problems/subtraction-in-linked-list/1,https://www.geeksforgeeks.org/problems/subtraction-in-linked-list/1
flattening-a-linked-list,Flattening a Linked List,Merge multiple sorted linked lists into a single sorted linked list.,Medium,"Linked List, Divide and Conquer, Heap/Priority Queue","Amazon, Microsoft",https://www.geeksforgeeks.org/problems/flattening-a-linked-list/1,https://www.geeksforgeeks.org/problems/flattening-a-linked-list/1
implement-queue-using-stacks,Implement Queue using Stacks,Design a queue data structure using two stacks to support FIFO operations.,Easy,"Stack, Queue, Design","Amazon, Microsoft",https://leetcode.com/problems/implement-queue-using-stacks/,https://algo.monster/liteproblems/232
backspace-string-compare,Backspace String Compare,Determine if two strings are equal when typed into text editors with backspace functionality.,Easy,"String, Stack, Two Pointers","Amazon, Microsoft",https://leetcode.com/problems/backspace-string-compare/,https://neetcode.io/solutions/backspace-string-compare
