slug,title,description,difficulty,categories,companyTags,externalPlatformUrl,solutionUrl
reverse-string,Reverse a String,Reverse the given string,Easy,"String,Two Pointers","Amazon,Microsoft,Google",https://leetcode.com/problems/reverse-string/,
check-palindrome,Check if String is Palindrome,Check whether a string is palindrome or not,Easy,"String,Two Pointers","Amazon,Microsoft,Facebook",https://leetcode.com/problems/valid-palindrome/,
find-duplicate-characters,Find Duplicate Characters in a String,Print all duplicate characters in string,Easy,"String,Hash Table","Amazon,Microsoft",https://www.geeksforgeeks.org/print-all-the-duplicates-in-the-input-string/,
check-string-rotation,Check if Strings are Rotations,Check if one string is rotation of another,Easy,"String,String Matching","Amazon,Microsoft,Google",https://www.geeksforgeeks.org/a-program-to-check-if-strings-are-rotations-of-each-other/,
valid-shuffle,Valid Shuffle,Check if string is valid shuffle of two strings,Medium,"String,Two Pointers",Amazon,https://www.geeksforgeeks.org/check-if-a-string-is-a-valid-shuffle-of-two-strings/,
count-and-say,Count and Say,Generate nth term of count-and-say sequence,Medium,String,"Amazon,Microsoft,Facebook",https://leetcode.com/problems/count-and-say/,
longest-palindromic-substring,Longest Palindrome in a String,Find longest palindromic substring,Medium,"String,Dynamic Programming","Amazon,Microsoft,Google,Facebook,Apple,Adobe",https://leetcode.com/problems/longest-palindromic-substring/,
longest-repeating-subsequence,Longest Repeating Subsequence,Find length of longest repeating subsequence,Medium,"String,Dynamic Programming","Amazon,Microsoft,Google",https://www.geeksforgeeks.org/longest-repeating-subsequence/,
print-anagrams-together,Print Anagrams Together,Group all anagrams together,Medium,"String,Hash Table,Sorting","Amazon,Microsoft,Google,Facebook,Uber,Bloomberg",https://leetcode.com/problems/group-anagrams/,
smallest-window-containing-substring,Smallest Window Containing All Characters,Find smallest window containing all characters of pattern,Hard,"String,Hash Table,Sliding Window","Amazon,Microsoft,Google,Facebook",https://leetcode.com/problems/minimum-window-substring/,
insert-node-in-linked-list,Insert a Node in Linked List,Insert a node at given position in linked list,Easy,Linked List,"Amazon,Microsoft",https://www.geeksforgeeks.org/linked-list-set-2-inserting-a-node/,
delete-node-in-linked-list,Delete a Node in Linked List,Delete a node from linked list,Easy,Linked List,"Amazon,Microsoft,Google",https://leetcode.com/problems/delete-node-in-a-linked-list/,
reverse-linked-list,Reverse a Linked List,Reverse a singly linked list,Easy,"Linked List,Recursion","Amazon,Microsoft,Google,Facebook,Apple,Adobe",https://leetcode.com/problems/reverse-linked-list/,
detect-loop-in-linked-list,Detect Loop in Linked List,Detect if linked list has a cycle,Easy,"Hash Table,Linked List,Two Pointers","Amazon,Microsoft,Google,Facebook",https://leetcode.com/problems/linked-list-cycle/,
remove-loop-in-linked-list,Remove Loop in Linked List,Detect and remove loop in linked list,Medium,"Hash Table,Linked List,Two Pointers","Amazon,Microsoft,Accolite,Adobe",https://www.geeksforgeeks.org/detect-and-remove-loop-in-a-linked-list/,
find-length-of-loop,Find Length of Loop,Find length of loop in linked list,Easy,"Linked List,Two Pointers","Amazon,Microsoft",https://www.geeksforgeeks.org/find-length-of-loop-in-linked-list/,
middle-of-linked-list,Find Middle of the Linked List,Find middle node of linked list,Easy,"Linked List,Two Pointers","Amazon,Microsoft,Facebook",https://leetcode.com/problems/middle-of-the-linked-list/,
nth-node-from-end,Nth Node from End of Linked List,Find nth node from end of linked list,Easy,"Linked List,Two Pointers","Amazon,Microsoft,Google",https://leetcode.com/problems/remove-nth-node-from-end-of-list/,
merge-two-sorted-linked-lists,Merge Two Sorted Linked Lists,Merge two sorted linked lists,Easy,"Linked List,Recursion","Amazon,Microsoft,Google,Facebook,Apple,Adobe",https://leetcode.com/problems/merge-two-sorted-lists/,
palindrome-linked-list,Check if Linked List is Palindrome,Check if linked list is palindrome,Easy,"Linked List,Two Pointers,Stack,Recursion","Amazon,Microsoft,Facebook,Apple",https://leetcode.com/problems/palindrome-linked-list/,
implement-stack-using-arrays,Implement Stack using Arrays,Implement stack data structure using array,Easy,"Array,Stack,Design","Amazon,Microsoft",https://www.geeksforgeeks.org/stack-data-structure-introduction-program/,
implement-queue-using-arrays,Implement Queue using Arrays,Implement queue data structure using array,Easy,"Array,Queue,Design","Amazon,Microsoft",https://www.geeksforgeeks.org/queue-set-1introduction-and-array-implementation/,
implement-two-stacks-in-array,Implement Two Stacks in an Array,Implement two stacks using single array,Easy,"Array,Stack,Design","Amazon,Microsoft,Flipkart",https://www.geeksforgeeks.org/implement-two-stacks-in-an-array/,
implement-stack-using-queue,Implement Stack using Queue,Implement stack using queue data structure,Easy,"Stack,Design,Queue","Amazon,Microsoft,Bloomberg",https://leetcode.com/problems/implement-stack-using-queues/,
valid-parentheses,Valid Parentheses,Check if parentheses in string are valid,Easy,"String,Stack","Amazon,Microsoft,Google,Facebook,Bloomberg",https://leetcode.com/problems/valid-parentheses/,
next-greater-element-stack,Next Greater Element,Find next greater element for each element using stack,Medium,"Array,Stack,Monotonic Stack","Amazon,Google,Flipkart",https://leetcode.com/problems/next-greater-element-i/,
largest-rectangle-histogram,Largest Rectangle in Histogram,Find area of largest rectangle in histogram,Hard,"Array,Stack,Monotonic Stack","Amazon,Microsoft,Google,Facebook,Uber",https://leetcode.com/problems/largest-rectangle-in-histogram/,
min-stack,Min Stack,Design stack with getMin operation,Medium,"Stack,Design","Amazon,Microsoft,Google,Bloomberg",https://leetcode.com/problems/min-stack/,
height-of-binary-tree,Height of Binary Tree,Find height/depth of binary tree,Easy,"Tree,Depth-First Search,Breadth-First Search,Binary Tree","Amazon,Microsoft,Google,Facebook",https://leetcode.com/problems/maximum-depth-of-binary-tree/,
diameter-of-binary-tree,Diameter of Binary Tree,Find diameter of binary tree,Easy,"Tree,Depth-First Search,Binary Tree","Amazon,Microsoft,Google,Facebook",https://leetcode.com/problems/diameter-of-binary-tree/,
mirror-tree,Mirror Tree,Convert tree into its mirror tree,Easy,"Tree,Depth-First Search,Breadth-First Search,Binary Tree","Amazon,Microsoft,Google",https://leetcode.com/problems/invert-binary-tree/,
inorder-traversal,Inorder Traversal,Inorder traversal of binary tree,Easy,"Stack,Tree,Depth-First Search,Binary Tree","Amazon,Microsoft,Google,Facebook",https://leetcode.com/problems/binary-tree-inorder-traversal/,
preorder-traversal,Preorder Traversal,Preorder traversal of binary tree,Easy,"Stack,Tree,Depth-First Search,Binary Tree","Amazon,Microsoft,Google",https://leetcode.com/problems/binary-tree-preorder-traversal/,
postorder-traversal,Postorder Traversal,Postorder traversal of binary tree,Easy,"Stack,Tree,Depth-First Search,Binary Tree","Amazon,Microsoft,Google",https://leetcode.com/problems/binary-tree-postorder-traversal/,
level-order-traversal,Level Order Traversal,Level order traversal of binary tree,Medium,"Tree,Breadth-First Search,Binary Tree","Amazon,Microsoft,Google,Facebook,LinkedIn",https://leetcode.com/problems/binary-tree-level-order-traversal/,
left-view-of-tree,Left View of Binary Tree,Print left view of binary tree,Easy,"Tree,Depth-First Search,Breadth-First Search,Binary Tree","Amazon,Microsoft,Adobe",https://www.geeksforgeeks.org/print-left-view-binary-tree/,
right-view-of-tree,Right View of Binary Tree,Print right view of binary tree,Medium,"Tree,Depth-First Search,Breadth-First Search,Binary Tree","Amazon,Microsoft,Facebook,Bloomberg",https://leetcode.com/problems/binary-tree-right-side-view/,
top-view-of-tree,Top View of Binary Tree,Print top view of binary tree,Medium,"Tree,Depth-First Search,Breadth-First Search,Binary Tree","Amazon,Microsoft,Flipkart",https://www.geeksforgeeks.org/print-nodes-top-view-binary-tree/,
bfs-traversal,BFS Traversal,Breadth-first search traversal of graph,Easy,"Breadth-First Search,Graph","Amazon,Microsoft,Google,Facebook",https://www.geeksforgeeks.org/breadth-first-search-or-bfs-for-a-graph/,
dfs-traversal,DFS Traversal,Depth-first search traversal of graph,Easy,"Depth-First Search,Graph","Amazon,Microsoft,Google",https://www.geeksforgeeks.org/depth-first-search-or-dfs-for-a-graph/,
detect-cycle-in-directed-graph,Detect Cycle in Directed Graph,Detect cycle in directed graph,Medium,"Depth-First Search,Breadth-First Search,Graph","Amazon,Microsoft,Google,Facebook",https://www.geeksforgeeks.org/detect-cycle-in-a-graph/,
detect-cycle-in-undirected-graph,Detect Cycle in Undirected Graph,Detect cycle in undirected graph,Medium,"Depth-First Search,Breadth-First Search,Union Find,Graph","Amazon,Microsoft,Google",https://www.geeksforgeeks.org/detect-cycle-undirected-graph/,
topological-sort,Topological Sort,Topological sorting of directed acyclic graph,Medium,"Depth-First Search,Breadth-First Search,Graph,Topological Sort","Amazon,Microsoft,Google,Facebook",https://www.geeksforgeeks.org/topological-sorting/,
number-of-islands,Number of Islands,Count number of islands in 2D grid,Medium,"Array,Depth-First Search,Breadth-First Search,Union Find,Matrix","Amazon,Microsoft,Google,Facebook,Uber,Bloomberg",https://leetcode.com/problems/number-of-islands/,
dijkstra-algorithm,Dijkstra's Algorithm,Find shortest path using Dijkstra's algorithm,Medium,"Graph,Shortest Path,Heap","Amazon,Microsoft,Google,Facebook,Uber",https://www.geeksforgeeks.org/dijkstras-shortest-path-algorithm-greedy-algo-7/,
prims-algorithm,Prim's Algorithm,Minimum spanning tree using Prim's algorithm,Medium,"Union Find,Graph,Heap,Minimum Spanning Tree","Amazon,Microsoft,Google",https://www.geeksforgeeks.org/prims-minimum-spanning-tree-mst-greedy-algo-5/,
fibonacci-number,Fibonacci Number,Find nth Fibonacci number,Easy,"Math,Dynamic Programming,Recursion,Memoization","Amazon,Microsoft,Google",https://leetcode.com/problems/fibonacci-number/,
climbing-stairs,Climbing Stairs,Count ways to climb n stairs,Easy,"Math,Dynamic Programming,Memoization","Amazon,Microsoft,Google,Adobe,Apple",https://leetcode.com/problems/climbing-stairs/,
coin-change,Coin Change,Minimum coins needed to make amount,Medium,"Array,Dynamic Programming,Breadth-First Search","Amazon,Microsoft,Google,Facebook,Uber,Apple",https://leetcode.com/problems/coin-change/,
longest-common-subsequence,Longest Common Subsequence,Find length of LCS,Medium,"String,Dynamic Programming","Amazon,Microsoft,Google,Facebook",https://leetcode.com/problems/longest-common-subsequence/,
longest-increasing-subsequence,Longest Increasing Subsequence,Find length of LIS,Medium,"Array,Binary Search,Dynamic Programming","Amazon,Microsoft,Google,Facebook,Uber,Adobe",https://leetcode.com/problems/longest-increasing-subsequence/,
edit-distance,Edit Distance,Minimum operations to convert one string to another,Medium,"String,Dynamic Programming","Amazon,Microsoft,Google,Facebook,Bloomberg",https://leetcode.com/problems/edit-distance/,
0-1-knapsack,0-1 Knapsack Problem,Classic 0-1 knapsack problem,Medium,"Array,Dynamic Programming","Amazon,Microsoft,Google",https://www.geeksforgeeks.org/0-1-knapsack-problem-dp-10/,
matrix-chain-multiplication,Matrix Chain Multiplication,Minimum cost to multiply chain of matrices,Hard,"Array,Dynamic Programming","Amazon,Microsoft,Google",https://www.geeksforgeeks.org/matrix-chain-multiplication-dp-8/,
partition-equal-subset-sum,Partition Equal Subset Sum,Check if array can be partitioned into two equal sum subsets,Medium,"Array,Dynamic Programming","Amazon,Microsoft,Google,Facebook",https://leetcode.com/problems/partition-equal-subset-sum/,
egg-dropping-puzzle,Egg Dropping Puzzle,Find minimum trials in worst case,Hard,"Math,Binary Search,Dynamic Programming","Amazon,Microsoft,Google,Bloomberg",https://leetcode.com/problems/super-egg-drop/,
activity-selection,Activity Selection Problem,Select maximum number of activities,Easy,"Greedy,Array,Sorting","Amazon,Microsoft,Google",https://www.geeksforgeeks.org/activity-selection-problem-greedy-algo-1/,
n-meetings-in-one-room,N Meetings in One Room,Find maximum number of meetings,Easy,"Greedy,Array,Sorting","Amazon,Flipkart,Microsoft",https://www.geeksforgeeks.org/find-maximum-meetings-in-one-room/,
job-sequencing-problem,Job Sequencing Problem,Schedule jobs to maximize profit,Medium,"Greedy,Array,Sorting","Amazon,Microsoft,Flipkart",https://www.geeksforgeeks.org/job-sequencing-problem/,
fractional-knapsack,Fractional Knapsack,Maximize value in knapsack with fractional items,Medium,"Greedy,Array,Sorting","Amazon,Microsoft",https://www.geeksforgeeks.org/fractional-knapsack-problem/,
huffman-coding,Huffman Coding,Build Huffman tree for compression,Medium,"Greedy,Tree,Heap","Amazon,Microsoft,Google",https://www.geeksforgeeks.org/huffman-coding-greedy-algo-3/,
n-queens,N-Queens Problem,Place N queens on NxN chessboard,Hard,"Array,Backtracking","Amazon,Microsoft,Google,Uber",https://leetcode.com/problems/n-queens/,
rat-in-a-maze,Rat in a Maze,Find all paths for rat to reach destination,Medium,"Array,Backtracking,Matrix","Amazon,Flipkart,Microsoft,Samsung",https://www.geeksforgeeks.org/rat-in-a-maze/,
sudoku-solver,Sudoku Solver,Solve a 9x9 Sudoku puzzle,Hard,"Array,Backtracking,Matrix","Amazon,Microsoft,Google,Facebook,Uber,Snapchat",https://leetcode.com/problems/sudoku-solver/,
permutations,Permutations,Generate all permutations of array,Medium,"Array,Backtracking","Amazon,Microsoft,Google,Facebook,LinkedIn",https://leetcode.com/problems/permutations/,
combination-sum,Combination Sum,Find all combinations that sum to target,Medium,"Array,Backtracking","Amazon,Microsoft,Google,Facebook,Airbnb",https://leetcode.com/problems/combination-sum/,
count-set-bits,Count Set Bits,Count number of set bits in integer,Easy,Bit Manipulation,"Amazon,Microsoft,Google",https://leetcode.com/problems/number-of-1-bits/,
power-of-two,Power of Two,Check if number is power of two,Easy,"Math,Bit Manipulation,Recursion","Amazon,Microsoft,Google",https://leetcode.com/problems/power-of-two/,
find-xor-from-1-to-n,Find XOR from 1 to N,Calculate XOR of all numbers from 1 to n,Easy,"Math,Bit Manipulation",Amazon,https://www.geeksforgeeks.org/calculate-xor-1-n/,
single-number,Single Number,Find the element that appears only once,Easy,"Array,Bit Manipulation","Amazon,Microsoft,Google,Facebook,Apple",https://leetcode.com/problems/single-number/,
