slug,title,description,difficulty,categories,companyTags,externalPlatformUrl,solutionUrl
trapping-rain-water,Trapping Rain Water,"Calculate the total amount of rainwater that can be trapped after raining, given an elevation map represented by an array of bar heights.","Array, Two Pointers, Dynamic Programming, Stack","Array, Two Pointers, Dynamic Programming","Google, Amazon",https://leetcode.com/problems/trapping-rain-water,https://neetcode.io/problems/trapping-rain-water/solution
3sum,3Sum,Find all unique triplets in an array that sum up to zero.,"Arrays, Two Pointers, Sorting","Arrays, Two Pointers, Sorting","Google, Amazon",https://leetcode.com/problems/3sum,https://neetcode.io/problems/3sum/solution
best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Find the maximum profit from a single transaction of buying and selling a stock.,"Array, Dynamic Programming, Greedy","Array, Dynamic Programming, Greedy","Google, Amazon",https://leetcode.com/problems/best-time-to-buy-and-sell-stock,https://neetcode.io/problems/best-time-to-buy-and-sell-stock/solution
longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Find the length of the longest substring without repeating characters.,"Hash Table, String, Sliding Window","Hash Table, String, Sliding Window","Google, Amazon",https://leetcode.com/problems/longest-substring-without-repeating-characters,https://neetcode.io/problems/longest-substring-without-repeating-characters/solution
longest-repeating-character-replacement,Longest Repeating Character Replacement,Find the length of the longest substring containing the same letter after replacing at most k characters.,"Sliding Window, Hash Map, String","Sliding Window, Hash Map, String","Amazon, Google",https://leetcode.com/problems/longest-repeating-character-replacement,https://neetcode.io/problems/longest-repeating-character-replacement/solution
permutation-in-string,Permutation in String,Determine if a string s2 contains a permutation of another string s1 as a substring.,"Sliding Window, Hash Map, String/Array","Sliding Window, Hash Map, String/Array","Amazon, Microsoft",https://leetcode.com/problems/permutation-in-string,https://neetcode.io/problems/permutation-in-string/solution
minimum-window-substring,Minimum Window Substring,Find the smallest substring in a string S that contains all the characters of another string T.,"Sliding Window, Hash Map, String","Sliding Window, Hash Map, String","Google, Amazon",https://leetcode.com/problems/minimum-window-substring,https://neetcode.io/problems/minimum-window-substring/solution
sliding-window-maximum,Sliding Window Maximum,Find the maximum element in every contiguous subarray of size k.,"Sliding Window, Queue, Heap","Sliding Window, Queue, Heap","Amazon, Google",https://leetcode.com/problems/sliding-window-maximum,https://neetcode.io/problems/sliding-window-maximum/solution
min-stack,Min Stack,"Design a stack that supports push, pop, top, and retrieving the minimum element in constant time.","Stack, Design, Data Structure","Stack, Design, Data Structure","Amazon, Google",https://leetcode.com/problems/min-stack,https://neetcode.io/problems/min-stack/solution
evaluate-reverse-polish-notation,Evaluate Reverse Polish Notation,Evaluate the value of an arithmetic expression in Reverse Polish Notation.,"Stack, Array, Math","Stack, Array, Math","Amazon, Microsoft",https://leetcode.com/problems/evaluate-reverse-polish-notation,https://neetcode.io/problems/evaluate-reverse-polish-notation/solution
generate-parentheses,Generate Parentheses,Generate all combinations of well-formed parentheses given a number n.,"Backtracking, Recursion, String","Backtracking, Recursion, String","Amazon, Google",https://leetcode.com/problems/generate-parentheses,https://neetcode.io/problems/generate-parentheses/solution
valid-parentheses,Valid Parentheses,Determine if an input string containing only parentheses is valid.,"Stack, String, Data Structure","Stack, String, Data Structure","Google, Amazon",https://leetcode.com/problems/valid-parentheses,https://neetcode.io/problems/valid-parentheses/solution
daily-temperatures,Daily Temperatures,Calculate the number of days you must wait until a warmer temperature occurs.,"Stack, Array, Monotonic Stack","Stack, Array, Monotonic Stack","Amazon, Microsoft",https://leetcode.com/problems/daily-temperatures,https://neetcode.io/problems/daily-temperatures/solution
car-fleet,Car Fleet,"Determine the number of car fleets that will arrive at the target destination, where a fleet is one or more cars driving at the same position and speed.","Stack, Array, Sorting","Stack, Array, Sorting","Amazon, Google",https://leetcode.com/problems/car-fleet,https://neetcode.io/problems/car-fleet/solution
largest-rectangle-in-histogram,Largest Rectangle in Histogram,Return the area of the largest rectangle in a histogram given an array of bar heights where the width of each bar is 1.,"Stack, Array, Monotonic Stack","Stack, Array, Monotonic Stack","Amazon, Google",https://leetcode.com/problems/largest-rectangle-in-histogram,https://neetcode.io/problems/largest-rectangle-in-histogram/solution
binary-search,Binary Search,"Given a sorted array of integers and a target value, write a function to search for the target.","Binary Search, Arrays","Binary Search, Arrays","Google, Microsoft",https://leetcode.com/problems/binary-search,https://neetcode.io/problems/binary-search/solution
search-a-2d-matrix,Search a 2D Matrix,Determine if a target value exists in a sorted m x n 2D matrix where the first element of each row is greater than the last of the previous row.,"Binary Search, Array, Matrix","Binary Search, Array, Matrix","Google, Amazon",https://leetcode.com/problems/search-a-2d-matrix,https://neetcode.io/problems/search-a-2d-matrix/solution
koko-eating-bananas,Koko Eating Bananas,Find the minimum eating speed 'k' for Koko to finish all banana piles within 'h' hours.,"Binary Search, Array, Optimization","Binary Search, Array, Optimization","Amazon, Google",https://leetcode.com/problems/koko-eating-bananas,https://neetcode.io/problems/koko-eating-bananas/solution
search-in-rotated-sorted-array,Search in Rotated Sorted Array,"Search for a target value in a sorted integer array that has been rotated, ensuring O(log n) runtime complexity.","Binary Search, Arrays, Divide and Conquer","Binary Search, Arrays, Divide and Conquer","Google, Amazon",https://leetcode.com/problems/search-in-rotated-sorted-array,https://neetcode.io/problems/search-in-rotated-sorted-array/solution
time-based-key-value-store,Time Based Key Value Store,"Design a key-value store that supports storing multiple values for the same key, each associated with a different timestamp, and retrieving the value associated with the largest timestamp less than or equal to a given timestamp.","Hash Table, Binary Search, Design","Hash Table, Binary Search, Design","Google, Amazon",https://leetcode.com/problems/time-based-key-value-store,https://neetcode.io/problems/time-based-key-value-store/solution
find-minimum-in-rotated-sorted-array,Find Minimum in Rotated Sorted Array,Find the minimum element in a sorted array that has been rotated at an unknown pivot.,"Array, Binary Search","Array, Binary Search, Divide and Conquer","Google, Amazon",https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,https://neetcode.io/problems/find-minimum-in-rotated-sorted-array/solution
median-of-two-sorted-arrays,Median of Two Sorted Arrays,Find the median of two sorted arrays of different sizes.,"Binary Search, Arrays, Divide and Conquer","Binary Search, Arrays, Divide and Conquer","Google, Facebook (Meta)",https://leetcode.com/problems/median-of-two-sorted-arrays,https://neetcode.io/problems/median-of-two-sorted-arrays/solution
reverse-linked-list,Reverse Linked List,Reverse a singly linked list.,"Linked List, Two Pointers, Recursion","Linked List, Two Pointers, Recursion","Google, Amazon",https://leetcode.com/problems/reverse-linked-list,https://neetcode.io/problems/reverse-linked-list/solution
reorder-list,Reorder List,Reorder a singly linked list in-place from L0 -> L1 -> L2 -> ... -> Ln to L0 -> Ln -> L1 -> Ln-1 -> ...,"Linked List, Two Pointers, Data Structures","Linked List, Two Pointers, Data Structures","Google, Amazon",https://leetcode.com/problems/reorder-list,https://neetcode.io/problems/reorder-list/solution
merge-two-sorted-lists,Merge Two Sorted Lists,Merge two sorted linked lists into one new sorted list.,"Linked List, Two Pointers, Recursion","Linked List, Two Pointers, Recursion","Google, Amazon",https://leetcode.com/problems/merge-two-sorted-lists,https://neetcode.io/problems/merge-two-sorted-lists/solution
remove-nth-node-from-end-of-list,Remove Nth Node From End of List,Remove the nth node from the end of a given linked list.,"Linked List, Two Pointers","Linked List, Two Pointers",Something went wrong. Try again.,https://leetcode.com/problems/remove-nth-node-from-end-of-list,https://neetcode.io/problems/remove-nth-node-from-end-of-list/solution
copy-list-with-random-pointer,Copy List with Random Pointer,Create a deep copy of a linked list where each node has both a next pointer and a random pointer.,"Linked List, Hash Map, Data Structures","Linked List, Hash Map, Data Structures","Microsoft, Amazon",https://leetcode.com/problems/copy-list-with-random-pointer,https://neetcode.io/problems/copy-list-with-random-pointer/solution
add-two-numbers,Add Two Numbers,"Given two non-empty linked lists representing non-negative integers, add the two numbers and return the sum as a linked list.","Linked List, Math","Linked List, Math","Amazon, Microsoft",https://leetcode.com/problems/add-two-numbers,https://neetcode.io/problems/add-two-numbers/solution
linked-list-cycle,Linked List Cycle,Determine if a linked list contains a cycle.,"Linked List, Two Pointers, Data Structure","Linked List, Two Pointers, Data Structure","Amazon, Microsoft",https://leetcode.com/problems/linked-list-cycle,https://neetcode.io/problems/linked-list-cycle/solution
lru-cache,LRU Cache,Design a data structure that implements the Least Recently Used (LRU) cache policy.,"Data Structures, Design, Hash Table/Doubly-Linked List","Data Structures, Design, Hash Table","Google, Facebook (Meta)",https://leetcode.com/problems/lru-cache,https://neetcode.io/problems/lru-cache/solution
find-the-duplicate-number,Find the Duplicate Number,"Given an array containing n+1 integers where each integer is between 1 and n (inclusive), find the single duplicate number.","Array, Two Pointers, Binary Search, or Cycle Detection (Floyd's Tortoise and Hare)","Array, Two Pointers, Binary Search","Amazon, Google",https://leetcode.com/problems/find-the-duplicate-number,https://neetcode.io/problems/find-the-duplicate-number/solution
merge-k-sorted-lists,Merge k Sorted Lists,Something went wrong. Try again.,"Linked List, Heap, Divide and Conquer","Linked List, Heap, Divide and Conquer","Google, Amazon",https://leetcode.com/problems/merge-k-sorted-lists,https://neetcode.io/problems/merge-k-sorted-lists/solution
reverse-nodes-in-k-group,Reverse Nodes in k-Group,Reverse the nodes of a singly linked list in groups of $k$.,"Recursion, Linked List","Linked List, Recursion, Two Pointers","Google, Amazon",https://leetcode.com/problems/reverse-nodes-in-k-group,https://neetcode.io/problems/reverse-nodes-in-k-group/solution
invert-binary-tree,Invert Binary Tree,Mirror the binary tree by swapping the left and right children of every node.,Something went wrong. Try again.,"Binary Tree, Tree Traversal, Recursion","Google, Amazon",https://leetcode.com/problems/invert-binary-tree,https://neetcode.io/problems/invert-binary-tree/solution
maximum-depth-of-binary-tree,Maximum Depth of Binary Tree,Find the length of the longest path from the root node to any leaf node in a binary tree.,"Binary Tree, Depth First Search, Recursion","Binary Tree, DFS, Recursion","Google, Amazon",https://leetcode.com/problems/maximum-depth-of-binary-tree,https://neetcode.io/problems/maximum-depth-of-binary-tree/solution
diameter-of-binary-tree,Diameter of Binary Tree,Return the length of the longest path between any two nodes in a binary tree.,"Tree, Depth-First Search, Binary Tree","Tree, Depth-First Search, Binary Tree","Meta, Amazon",https://leetcode.com/problems/diameter-of-binary-tree,https://neetcode.io/problems/diameter-of-binary-tree/solution
balanced-binary-tree,Balanced Binary Tree,"Determine if a binary tree is height-balanced, meaning the depth of the two subtrees of every node never differs by more than one.","Tree, Depth-First Search, Binary Tree","Tree, Depth-First Search, Binary Tree","Google, Amazon",https://leetcode.com/problems/balanced-binary-tree,https://neetcode.io/problems/balanced-binary-tree/solution
same-tree,Same Tree,Determine if two binary trees are structurally identical and have the same node values.,"Tree, Depth-First Search, Binary Tree","Tree, Depth-First Search, Binary Tree","Google, Amazon",https://leetcode.com/problems/same-tree,https://neetcode.io/problems/same-tree/solution
subtree-of-another-tree,Subtree of Another Tree,Determine if one binary tree is a subtree of another binary tree.,"Binary Tree, Depth-First Search, Tree Comparison","Binary Tree, Depth-First Search, Tree Comparison","Google, Amazon",https://leetcode.com/problems/subtree-of-another-tree,https://neetcode.io/problems/subtree-of-another-tree/solution
lowest-common-ancestor-of-a-binary-search-tree,Lowest Common Ancestor of a Binary Search Tree,Find the lowest common ancestor of two given nodes in a Binary Search Tree.,"Binary Search Tree, Tree, Depth-First Search","Binary Search Tree, Tree, Depth-First Search","Google, Amazon",https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree,https://neetcode.io/problems/lowest-common-ancestor-of-a-binary-search-tree/solution
binary-tree-level-order-traversal,Binary Tree Level Order Traversal,"Return the nodes of a binary tree level by level, from left to right.","Tree Traversal, Breadth-First Search (BFS), Binary Tree","Tree Traversal, Breadth-First Search (BFS), Binary Tree","Google, Amazon",https://leetcode.com/problems/binary-tree-level-order-traversal,https://neetcode.io/problems/binary-tree-level-order-traversal/solution
binary-tree-right-side-view,Binary Tree Right Side View,"Return the values of the nodes you can see when standing on the right side of the binary tree, ordered from top to bottom.","Binary Tree, Breadth-First Search, Traversal","Binary Tree, Breadth-First Search, Traversal","Google, Amazon",https://leetcode.com/problems/binary-tree-right-side-view,https://neetcode.io/problems/binary-tree-right-side-view/solution
count-good-nodes-in-binary-tree,Count Good Nodes in Binary Tree,Find the number of nodes in a binary tree where the node's value is greater than or equal to the maximum value on the path from the root to that node.,"Tree, Depth-First Search, Binary Tree","Tree, Depth-First Search, Binary Tree","Amazon, Microsoft",https://leetcode.com/problems/count-good-nodes-in-binary-tree,https://neetcode.io/problems/count-good-nodes-in-binary-tree/solution
validate-binary-search-tree,Validate Binary Search Tree,Determine if a given binary tree is a valid Binary Search Tree (BST).,"Tree, Depth-First Search, Binary Search Tree","Tree, Depth-First Search, Binary Search Tree","Microsoft, Facebook",https://leetcode.com/problems/validate-binary-search-tree,https://neetcode.io/problems/validate-binary-search-tree/solution
kth-smallest-element-in-a-bst,Kth Smallest Element in a BST,Find the Kth smallest value in a Binary Search Tree.,"Binary Search Tree, Tree Traversal, Depth-First Search","Binary Search Tree, Tree Traversal, Depth-First Search","Google, Amazon",https://leetcode.com/problems/kth-smallest-element-in-a-bst,https://neetcode.io/problems/kth-smallest-element-in-a-bst/solution
construct-binary-tree-from-preorder-and-inorder-traversal,Construct Binary Tree from Preorder and Inorder Traversal,Construct a binary tree given its preorder and inorder traversal arrays.,"Binary Tree, Tree Traversal, Recursion","Binary Tree, Tree Traversal, Recursion","Amazon, Google",https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal,https://neetcode.io/problems/construct-binary-tree-from-preorder-and-inorder-traversal/solution
binary-tree-maximum-path-sum,Binary Tree Maximum Path Sum,Find the maximum path sum between any two nodes in a binary tree.,"Binary Tree, Depth-First Search, Dynamic Programming","Binary Tree, Depth-First Search, Dynamic Programming","Google, Amazon",https://leetcode.com/problems/binary-tree-maximum-path-sum,https://neetcode.io/problems/binary-tree-maximum-path-sum/solution
serialize-and-deserialize-binary-tree,Serialize and Deserialize Binary Tree,Design an algorithm to serialize and deserialize a binary tree.,"Tree, Design, Depth-First Search","Tree, Design, Depth-First Search","Google, Amazon",https://leetcode.com/problems/serialize-and-deserialize-binary-tree,https://neetcode.io/problems/serialize-and-deserialize-binary-tree/solution
kth-largest-element-in-a-stream,Kth Largest Element in a Stream,Implement a class to find the kth largest element in a continuous data stream.,"Heaps, Data Structures, Design","Heaps, Data Structures, Design","Amazon, Google",https://leetcode.com/problems/kth-largest-element-in-a-stream,https://neetcode.io/problems/kth-largest-element-in-a-stream/solution
last-stone-weight,Last Stone Weight,Determine the weight of the last stone remaining after repeatedly smashing the two heaviest stones together.,"Heap, Priority Queue, Array",Something went wrong. Try again.,"Amazon, Facebook",https://leetcode.com/problems/last-stone-weight,https://neetcode.io/problems/last-stone-weight/solution
k-closest-points-to-origin,K Closest Points to Origin,"Return the k points closest to the origin (0, 0) in an array of points.","Heaps, Sorting, Geometry","Heaps, Sorting, Geometry","Amazon, Google",https://leetcode.com/problems/k-closest-points-to-origin,https://neetcode.io/problems/k-closest-points-to-origin/solution
find-median-from-data-stream,Find Median from Data Stream,Design a data structure that supports adding new numbers and efficiently finding the median of all numbers added so far.,"Heaps/Priority Queues, Data Structures, Streaming Data","Heaps/Priority Queues, Data Structures, Streaming Data","Amazon, Google",https://leetcode.com/problems/find-median-from-data-stream,https://neetcode.io/problems/find-median-from-data-stream/solution
kth-largest-element-in-an-array,Kth Largest Element in an Array,Return the kth largest element in a given integer array.,Something went wrong. Try again.,"Heaps, Sorting, Quickselect","Meta, American Express",https://leetcode.com/problems/kth-largest-element-in-an-array,https://neetcode.io/problems/kth-largest-element-in-an-array/solution
task-scheduler,Task Scheduler,Find the minimum time needed to complete all tasks on a CPU with a required cooldown period between identical tasks.,"Greedy, Heap, Scheduling","Greedy, Heap, Scheduling","Amazon, Google",https://leetcode.com/problems/task-scheduler,https://neetcode.io/problems/task-scheduler/solution
design-twitter,Design Twitter,"Design a simplified Twitter allowing users to post tweets, follow/unfollow, and view the 10 most recent tweets in their news feed.","Design, Hash Table, Heap/Priority Queue","System Design, Data Structures, Algorithms","Cloudflare, Asana",https://leetcode.com/problems/design-twitter,https://neetcode.io/problems/design-twitter/solution
subsets,Subsets,Return all possible subsets (the power set) of a distinct integer array.,"Backtracking, Bit Manipulation, Array","Backtracking, Bit Manipulation, Array","Google, Amazon",https://leetcode.com/problems/subsets,https://neetcode.io/problems/subsets/solution
combination-sum,Combination Sum,Find all unique combinations of candidates that sum up to a given target number.,"Backtracking, Array, Dynamic Programming","Backtracking, Array, Dynamic Programming","Google, Amazon",https://leetcode.com/problems/combination-sum,https://neetcode.io/problems/combination-sum/solution
permutations,Permutations,Return all possible permutations of an array of distinct integers.,"Backtracking, Recursion, Array","Backtracking, Recursion, Array","Google, Amazon",https://leetcode.com/problems/permutations,https://neetcode.io/problems/permutations/solution
subsets-ii,Subsets II,"Given an integer array that may contain duplicates, return all possible subsets without duplicate subsets.","Backtracking, Recursion, Array","Backtracking, Array, Set Theory","Google, Amazon",https://leetcode.com/problems/subsets-ii,https://neetcode.io/problems/subsets-ii/solution
combination-sum-ii,Combination Sum II,"Find all unique combinations in a candidate set that sum to a target number, where each number in the candidate set may only be used once in the combination.","Backtracking, Array, Dynamic Programming","Backtracking, Array, Dynamic Programming","Google, Amazon",https://leetcode.com/problems/combination-sum-ii,https://neetcode.io/problems/combination-sum-ii/solution
word-search,Word Search,Determine if a word exists in a grid of letters by searching adjacent cells.,"Backtracking, Depth-First Search (DFS), Matrix","Backtracking, Depth-First Search, Matrix","Amazon, Microsoft",https://leetcode.com/problems/word-search,https://neetcode.io/problems/word-search/solution
palindrome-partitioning,Palindrome Partitioning,Partition a given string such that every substring in the partition is a palindrome.,"Backtracking, Dynamic Programming, String","Backtracking, Dynamic Programming, String","Google, Amazon",https://leetcode.com/problems/palindrome-partitioning,https://neetcode.io/problems/palindrome-partitioning/solution
letter-combinations-of-a-phone-number,Letter Combinations of a Phone Number,Generate all possible letter combinations that the input digit string can represent.,"Backtracking, Recursion, String","Backtracking, Recursion, String","Amazon, Google",https://leetcode.com/problems/letter-combinations-of-a-phone-number,https://neetcode.io/problems/letter-combinations-of-a-phone-number/solution
n-queens,N-Queens,Place N chess queens on an N x N chessboard so that no two queens attack each other.,"Backtracking, Array, Matrix","Backtracking, Array, Matrix","Microsoft, Facebook",https://leetcode.com/problems/n-queens,https://neetcode.io/problems/n-queens/solution
implement-trie-prefix-tree,Implement Trie (Prefix Tree),"Design a data structure that efficiently stores and retrieves strings, typically used for implementing prefix-based search functionalities.","Trie, Design, Data Structure","Trie, Design, Data Structure","Google, Amazon",https://leetcode.com/problems/implement-trie-prefix-tree,https://neetcode.io/problems/implement-trie-prefix-tree/solution
design-add-and-search-words-data-structure,Design Add and Search Words Data Structure,Design a data structure that supports adding new words and searching for words that may contain dots ('.') representing any single letter.,"Trie, Design, Depth-First Search","Data Structures, Design, Algorithms","Google, Amazon",https://leetcode.com/problems/design-add-and-search-words-data-structure,https://neetcode.io/problems/design-add-and-search-words-data-structure/solution
word-search-ii,Word Search II,Find all words in a 2D grid of letters by moving adjacent cells.,"Trie, Backtracking, DFS","Trie, Backtracking, DFS","Amazon, Google",https://leetcode.com/problems/word-search-ii,https://neetcode.io/problems/word-search-ii/solution
number-of-islands,Number of Islands,Count the number of separate land masses (islands) in a 2D binary grid where '1' represents land and '0' represents water.,"Depth First Search (DFS), Breadth First Search (BFS), Graph/Grid Traversal","Graph, Depth First Search, Breadth First Search","Google, Amazon",https://leetcode.com/problems/number-of-islands,https://neetcode.io/problems/number-of-islands/solution
max-area-of-island,Max Area of Island,Find the largest area of connected 1s (land) in a 2D binary grid.,"Depth-First Search (DFS), Breadth-First Search (BFS), Matrix/Grid","Depth-First Search, Breadth-First Search, Matrix/Grid","Google, Amazon",https://leetcode.com/problems/max-area-of-island,https://neetcode.io/problems/max-area-of-island/solution
clone-graph,Clone Graph,Create a deep copy of a given node in a connected undirected graph and return the reference to the copied node.,"Graph, Depth-First Search, Breadth-First Search","Graph, Depth-First Search, Breadth-First Search","Google, Amazon",https://leetcode.com/problems/clone-graph,https://neetcode.io/problems/clone-graph/solution
walls-and-gates,Walls and Gates,"Fill empty rooms with the distance to the nearest gate in a 2D grid containing walls, gates, and rooms.","Breadth-First Search (BFS), Graph, Matrix","Breadth-First Search, Graph, Matrix","Amazon, Google",https://leetcode.com/problems/walls-and-gates,https://neetcode.io/problems/walls-and-gates/solution
rotting-oranges,Rotting Oranges,"Determine the minimum time required for all fresh oranges to rot in a grid, or return -1 if impossible.","Breadth-First Search, Graph, Matrix","Breadth-First Search, Graph, Matrix","Amazon, Google",https://leetcode.com/problems/rotting-oranges,https://neetcode.io/problems/rotting-oranges/solution
pacific-atlantic-water-flow,Pacific Atlantic Water Flow,Find all coordinates on an island grid from which water can flow to both the Pacific (top/left) and Atlantic (bottom/right) oceans.,"Graph, Depth-First Search (DFS), Breadth-First Search (BFS)","Graph, Depth-First Search (DFS), Breadth-First Search (BFS)","Amazon, Google",https://leetcode.com/problems/pacific-atlantic-water-flow,https://neetcode.io/problems/pacific-atlantic-water-flow/solution
surrounded-regions,Surrounded Regions,"Capture all regions surrounded by 'X's and flip them to 'X's, except for regions connected to the border.","Depth First Search, Breadth First Search, Graph, Matrix","Depth First Search, Breadth First Search, Graph","Amazon, Microsoft",https://leetcode.com/problems/surrounded-regions,https://neetcode.io/problems/surrounded-regions/solution
course-schedule,Course Schedule,Determine if all courses can be finished given the prerequisite relationships.,"Graph, Depth-First Search, Topological Sort","Graph, Depth-First Search, Topological Sort","Google, Facebook",https://leetcode.com/problems/course-schedule,https://neetcode.io/problems/course-schedule/solution
course-schedule-ii,Course Schedule II,"Determine a valid order of courses to take to finish all courses, given prerequisites.","Graph, Depth-First Search/Breadth-First Search, Topological Sort","Graph, Topological Sort, DFS/BFS","Amazon, Google",https://leetcode.com/problems/course-schedule-ii,https://neetcode.io/problems/course-schedule-ii/solution
graph-valid-tree,Graph Valid Tree,Determine if a given graph with $n$ nodes and a list of edges forms a valid tree.,"Graph, Depth-First Search, Union-Find","Graph, Depth-First Search, Union-Find","Meta, Amazon, Google",https://leetcode.com/problems/graph-valid-tree,https://neetcode.io/problems/graph-valid-tree/solution
number-of-connected-components-in-an-undirected-graph,Number of Connected Components in an Undirected Graph,"Find the number of separate, unconnected components in a given undirected graph.","Graph, Depth-First Search, Breadth-First Search","Graph, Depth-First Search, Breadth-First Search","Google, Amazon",https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph,https://neetcode.io/problems/number-of-connected-components-in-an-undirected-graph/solution
word-ladder,Word Ladder,"Find the length of the shortest sequence of transformations from a starting word to a target word, where each adjacent word differs by only one letter and must be in a given dictionary.","Graph, Breadth-First Search, String","Graph, Breadth-First Search, String","Google, Amazon",https://leetcode.com/problems/word-ladder,https://neetcode.io/problems/word-ladder/solution
redundant_connection,Redundant Connection,"Find the edge in a given graph that, if removed, results in a tree.","Graph, Union Find, Disjoint Set","Graph, Union Find, Disjoint Set","Amazon, Microsoft",https://leetcode.com/problems/redundant-connection,https://neetcode.io/problems/redundant-connection/solution
reconstruct-itinerary,Reconstruct Itinerary,Reconstruct a travel itinerary from a given list of airport tickets.,"Graph, Depth-First Search, Euler Path","Graph, Depth-First Search, Euler Path","Google, Amazon",https://leetcode.com/problems/reconstruct-itinerary,https://neetcode.io/problems/reconstruct-itinerary/solution
min-cost-to-connect-all-points,Min Cost to Connect All Points,"Find the minimum cost to connect all given points on a 2D plane, where the cost between two points is their Manhattan distance.","Graph, Minimum Spanning Tree, Greedy","Graph, Minimum Spanning Tree, Greedy","Amazon, Google",https://leetcode.com/problems/min-cost-to-connect-all-points,https://neetcode.io/problems/min-cost-to-connect-all-points/solution
network-delay-time,Network Delay Time,Find the minimum time required for a signal sent from a source node to reach all other nodes in a network.,"Graph, Dijkstra's Algorithm, Priority Queue","Graph, Dijkstra's Algorithm, Priority Queue","Google, Amazon",https://leetcode.com/problems/network-delay-time,https://neetcode.io/problems/network-delay-time/solution
swim-in-rising-water,Swim in Rising Water,Find the minimum time to swim from the top-left to the bottom-right of a grid where the water level rises with time.,"Graph, Breadth-First Search/Dijkstra's, Binary Search","Graph, Priority Queue, Binary Search","Google, Amazon",https://leetcode.com/problems/swim-in-rising-water,https://neetcode.io/problems/swim-in-rising-water/solution
cheapest-flights-within-k-stops,Cheapest Flights Within K Stops,Find the minimum cost to travel from a source city to a destination city with at most K stops.,"Graph, Dynamic Programming, Shortest Path","Graph, Dynamic Programming, Shortest Path","Amazon, Google",https://leetcode.com/problems/cheapest-flights-within-k-stops,https://neetcode.io/problems/cheapest-flights-within-k-stops/solution
